,Name,Company,Praise Level,Comment Number,Language,Price,Issue time,System Require,Game Tags
634,Foundation,Polymorph Games,Mostly Positive,"1,423","Early Access, City Builder, Strategy, Medieval, Simulation, Indie, Early Access, Economy, Singleplayer, Choices Matter", 90,"1 Feb, 2019","Requires a 64-bit processor and operating system,  Windows 7 Service Pack 1 or newer (64 bit),  3 GHz Dual Core Processor,  4 GB RAM,  GTX 660 / R7 370 - 3 GB Video Memory,  OpenGL 4.3","Early Access, City Builder, Strategy, Medieval, Simulation, Indie, Early Access, Economy, Singleplayer, Choices Matter"
635,Metro 2033 Redux,4A Games,Mostly Positive,"29,785","Post-apocalyptic, Atmospheric, FPS, Action, Story Rich, Singleplayer, Horror, First-Person, Stealth, Shooter, Survival Horror, Adventure, Based On A Novel, Survival, Remake, Mature, Gore, Multiplayer, Classic, Open World", 68,"28 Aug, 2014"," Windows Vista, 7 or 8 (64-bit only),  Dual Core CPU (2.2+ GHz Dual Core CPU or better),  2 GB RAM,  DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc),  Version 10,  10 GB available space,  64-bit only","Post-apocalyptic, Atmospheric, FPS, Action, Story Rich, Singleplayer, Horror, First-Person, Stealth, Shooter, Survival Horror, Adventure, Based On A Novel, Survival, Remake, Mature, Gore, Multiplayer, Classic, Open World"
636,Blackberry Honey,ebi-hime,Very Positive,No user reviews,"Visual Novel, Sexual Content, Nudity, Indie, Adventure, Anime, Female Protagonist", 43,"25 Oct, 2017"," Win XP+,  1Ghz,  512 MB RAM,  DirectX or OpenGL compatible card,  Version 9.0,  650 MB available space","Visual Novel, Sexual Content, Nudity, Indie, Adventure, Anime, Female Protagonist"
637,Metro: Last Light Redux,4A Games,Mostly Positive,"24,510","Post-apocalyptic, Atmospheric, FPS, Action, Story Rich, Horror, First-Person, Singleplayer, Stealth, Shooter, Survival, Adventure, Based On A Novel, Survival Horror, Remake, Nudity, Sci-fi, Difficult, Multiplayer, Open World", 68,"28 Aug, 2014"," Windows Vista, 7 or 8 (64-bit only),  Dual Core CPU (2.2+ GHz Dual Core CPU or better),  2 GB RAM,  DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc),  Version 10,  10 GB available space,  64-bit only","Post-apocalyptic, Atmospheric, FPS, Action, Story Rich, Horror, First-Person, Singleplayer, Stealth, Shooter, Survival, Adventure, Based On A Novel, Survival Horror, Remake, Nudity, Sci-fi, Difficult, Multiplayer, Open World"
638,ibb &amp; obb,Sparpweed,Very Positive,"1,777","Co-op, Puzzle, Local Co-Op, Indie, Platformer, Online Co-Op, Adventure, Cute, Action, Multiplayer, Puzzle-Platformer, Great Soundtrack, 2D, Casual, Difficult, Family Friendly, Controller, Local Multiplayer", 40,"27 May, 2014"," Windows XP (Service Pack 3),  2 GHz Intel Dual Core,  512 MB RAM,  OpenGL 2.0 compatible card,  850 MB available space,  any","Co-op, Puzzle, Local Co-Op, Indie, Platformer, Online Co-Op, Adventure, Cute, Action, Multiplayer, Puzzle-Platformer, Great Soundtrack, 2D, Casual, Difficult, Family Friendly, Controller, Local Multiplayer"
639,Tick Tock: A Tale for Two,Other Tales Interactive,Very Positive,593,"Adventure, Indie, Casual, Online Co-Op, Puzzle, Co-op, Local Co-Op, Local Multiplayer, Point &amp; Click, Atmospheric, Mystery, Story Rich, Multiplayer, Co-op Campaign, Family Friendly, Great Soundtrack", 26,"7 Mar, 2019"," Windows 7,  Intel i5 Quad-Core,  4 GB RAM,  Intel HD 4000,  2 GB available space","Adventure, Indie, Casual, Online Co-Op, Puzzle, Co-op, Local Co-Op, Local Multiplayer, Point &amp; Click, Atmospheric, Mystery, Story Rich, Multiplayer, Co-op Campaign, Family Friendly, Great Soundtrack"
640,TerraTech,Payload Studios,Very Positive,"4,559","Building, Open World, Sandbox, Robots, Multiplayer, Crafting, Adventure, Action, Survival, Singleplayer, Early Access, Strategy, Exploration, Indie, Physics, Third Person, Shooter, Sci-fi, Simulation, Co-op", 80,"10 Aug, 2018","Requires a 64-bit processor and operating system,  Windows 7 64-bit,  Intel Core2 Duo T7600 @ 2.33GHz or AMD Athlon 64 FX-60 Dual Core,  4 GB RAM,  nVidia GeForce 520M or Intel HD 4000,  Version 11,  1 GB available space,  Three-button mouse strongly recommended. Spec may be subject to revisions.","Building, Open World, Sandbox, Robots, Multiplayer, Crafting, Adventure, Action, Survival, Singleplayer, Early Access, Strategy, Exploration, Indie, Physics, Third Person, Shooter, Sci-fi, Simulation, Co-op"
641,Modern Combat 5,Gameloft,,"1,351","Free to Play, Massively Multiplayer, FPS, Action, Shooter, Multiplayer, Battle Royale, Controller, First-Person, Co-op",Free To Play,"24 Oct, 2018"," Windows 7 SP1 or newer,  Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz (2 CPUs), ~2.9GHz,  2 GB RAM,  NVIDIA Geforce  GT 220,  Version 11,  Broadband Internet connection,  4 GB available space,  DirectX compatible","Free to Play, Massively Multiplayer, FPS, Action, Shooter, Multiplayer, Battle Royale, Controller, First-Person, Co-op"
642,Sniper Elite 3,Rebellion,Mostly Positive,"11,191","Sniper, Action, Stealth, Multiplayer, World War II, Co-op, Shooter, Adventure, Third-Person Shooter, Tactical, Third Person, War, Online Co-Op, Singleplayer, Open World, Gore, Strategy, FPS, Atmospheric, Simulation", 88,"27 Jun, 2014"," Microsoft® Windows® Vista (Service Pack 2) or Windows® 7 (Service Pack 1) or Windows® 8 or Windows 8.1. Windows® XP is NOT supported.,  Dual-core CPU with SSE3 (Intel® Pentium® D 3GHz / AMD Athlon™ 64 X2 4200) or better,  2 GB RAM,  Microsoft® DirectX® 10.0 compatible graphics card with 256 MB of memory (NVIDIA® GeForce® 8800 series / ATI Radeon™ HD 3870) or better,  Version 11,  Broadband Internet connection,  18 GB available space,  Microsoft® DirectX® 10.0 compatible sound card or better,  Windows® XP is NOT supported. Ensure graphics and audio drivers are up to date.","Sniper, Action, Stealth, Multiplayer, World War II, Co-op, Shooter, Adventure, Third-Person Shooter, Tactical, Third Person, War, Online Co-Op, Singleplayer, Open World, Gore, Strategy, FPS, Atmospheric, Simulation"
643,One Finger Death Punch 2,Silver Dollar Games,Overwhelmingly Positive,No user reviews,"Action, Indie, Casual, ""Beat em up""", 32,"15 Apr, 2019"," Windows 7 - 64 bit,  Intel Dual-Core 2 GHz or equivalent,  4 GB RAM,  Nvidia GeForce GTX 660 or equivalent,  Version 11,  3 GB available space,  Windows 7 may have trouble playing a few video files in the game.","Action, Indie, Casual, ""Beat em up"""
644,RUNNING WITH RIFLES,Osumia Games,Very Positive,"5,053","Action, Tactical, Shooter, Top-Down, Multiplayer, Co-op, Open World, War, Indie, Strategy, Military, Singleplayer, RPG, Sandbox, RTS, Simulation, Massively Multiplayer, Survival, Isometric, Adventure", 59,"3 Apr, 2015"," Windows XP,  1.6 GHz Dual Core,  1 GB RAM,  NVidia Geforce 6600, ATI x800, Intel HD3000 or equivalent with 256MB VRAM,  Version 9.0c,  800 MB available space,  Try out the latest demo to see if the game will run fine for you.","Action, Tactical, Shooter, Top-Down, Multiplayer, Co-op, Open World, War, Indie, Strategy, Military, Singleplayer, RPG, Sandbox, RTS, Simulation, Massively Multiplayer, Survival, Isometric, Adventure"
645,CryoFall,AtomicTorch Studio,Mostly Positive,No user reviews,"Early Access, Indie, RPG, Sandbox, Open World, Multiplayer, Survival, 2D, Sci-fi, Massively Multiplayer, Character Customization, Top-Down, Moddable, Early Access, Action, Adventure, Strategy, Colorful, Simulation, Family Friendly", 69,"3 Apr, 2019","Requires a 64-bit processor and operating system,  Windows 7/8.1/10 (64-bit only),  Dual Core 2.2 GHz or equivalent,  3 GB RAM,  1 GB VRAM,  Version 11,  Broadband Internet connection,  350 MB available space","Early Access, Indie, RPG, Sandbox, Open World, Multiplayer, Survival, 2D, Sci-fi, Massively Multiplayer, Character Customization, Top-Down, Moddable, Early Access, Action, Adventure, Strategy, Colorful, Simulation, Family Friendly"
646,Realm Royale,Heroic Leap Games,,"26,972","Early Access, Battle Royale, Free to Play, Multiplayer, Survival, Shooter, PvP, Early Access, Third-Person Shooter, Action, Third Person, Competitive, FPS, Team-Based, Fantasy, Massively Multiplayer, Co-op, Open World, Online Co-Op, Memes",Free To Play,"5 Jun, 2018","Requires a 64-bit processor and operating system,  Windows 7,  Intel(R) Core(TM) i5-2320 CPU @ 3.00 GHz (4 CPUs), ~3.0GHz,  6 GB RAM,  NVIDIA GeForce GTX 555,  Version 11,  5 GB available space,  DirectX compatible sound card","Early Access, Battle Royale, Free to Play, Multiplayer, Survival, Shooter, PvP, Early Access, Third-Person Shooter, Action, Third Person, Competitive, FPS, Team-Based, Fantasy, Massively Multiplayer, Co-op, Open World, Online Co-Op, Memes"
647,Unruly Heroes,Magic Design Studios,Mostly Positive,No user reviews,"Adventure, Action, Puzzle-Platformer, Co-op, Indie, Platformer, Martial Arts, Cartoon, Local Co-Op, Side Scroller", 79,"23 Jan, 2019"," Windows 7 (32/64bit versions),  Intel Core i3 2100,  4 GB RAM,  nVidia GeForce  GeForce GTX 650,  4 GB available space","Adventure, Action, Puzzle-Platformer, Co-op, Indie, Platformer, Martial Arts, Cartoon, Local Co-Op, Side Scroller"
648,Miscreated,Entrada Interactive LLC,,"19,219","Survival, Open World, Multiplayer, Zombies, Post-apocalyptic, Crafting, Massively Multiplayer, PvP, Action, Sandbox, Co-op, Early Access, FPS, First-Person, Simulation, Horror, Walking Simulator, Indie, Singleplayer, MMORPG", 80,"19 Dec, 2018"," Windows 7+ 64-Bit,  Intel i5-6600K or AMD Ryzen 3 1300X,  8 GB RAM,  GeForce GTX 780 or Radeon R9 285,  Version 11,  Broadband Internet connection,  20 GB available space,  DirectX Compatible","Survival, Open World, Multiplayer, Zombies, Post-apocalyptic, Crafting, Massively Multiplayer, PvP, Action, Sandbox, Co-op, Early Access, FPS, First-Person, Simulation, Horror, Walking Simulator, Indie, Singleplayer, MMORPG"
649,,,,No user reviews,,,,,
650,CHRONO TRIGGER®,Square Enix,Mostly Positive,"1,341","RPG, JRPG, Classic, Great Soundtrack, Story Rich, Singleplayer, Time Travel, Fantasy, Anime, Adventure, Retro, Turn-Based, Cult Classic, Pixel Graphics, Sci-fi, Action, Multiple Endings, 2D, Replay Value", 95,"28 Feb, 2018"," Windows 7/8/8.1/10 (32bit/64bit),  Intel Core i3 2.3GHz,  4 GB RAM,  INTEL HD Graphics 530,  2 GB available space,  Supported resolutions: 800x600, 1024x768, 1280x960, 1280x720, 1360x768, 1600x900, 1920x1080.","RPG, JRPG, Classic, Great Soundtrack, Story Rich, Singleplayer, Time Travel, Fantasy, Anime, Adventure, Retro, Turn-Based, Cult Classic, Pixel Graphics, Sci-fi, Action, Multiple Endings, 2D, Replay Value"
651,Craft The World,Dekovir Entertainment,Very Positive,"6,987","Sandbox, Crafting, Survival, Building, Strategy, Indie, 2D, Simulation, Multiplayer, Singleplayer, Open World, City Builder, RPG, Resource Management, Fantasy, Adventure, God Game, Tower Defense, Casual, Side Scroller", 65,"25 Nov, 2014"," Windows XP or later,  2.0 GHz Dual Core CPU,  1 GB RAM,  Intel Graphics,  Version 9.0,  200 MB available space","Sandbox, Crafting, Survival, Building, Strategy, Indie, 2D, Simulation, Multiplayer, Singleplayer, Open World, City Builder, RPG, Resource Management, Fantasy, Adventure, God Game, Tower Defense, Casual, Side Scroller"
652,Holy Road,peperoncino,,No user reviews,"Indie, Nudity, Sexual Content, Simulation, Anime, Female Protagonist, Adventure, RPG, JRPG, Memes, Funny, City Builder", 49,"12 Apr, 2019"," Windows® 7/8/8.1/10,  Intel Core2 Duo or better,  4 GB RAM,  DirectX 9/OpenGL 4.1 capable GPU,  Verzió: 9.0,  2 GB szabad hely,  1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.","Indie, Nudity, Sexual Content, Simulation, Anime, Female Protagonist, Adventure, RPG, JRPG, Memes, Funny, City Builder"
653,President Yukino,Acerola,Mostly Positive,215,"Sexual Content, Nudity, RPG, Indie, Adventure, Anime, Female Protagonist, RPGMaker, JRPG, Memes, Funny", 49,"12 Oct, 2018"," Windows® 7/8/8.1/10,  Intel Core2 Duo or better,  4 GB RAM,  DirectX 9/OpenGL 4.1 capable GPU,  Version 9.0,  2 GB available space,  1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.","Sexual Content, Nudity, RPG, Indie, Adventure, Anime, Female Protagonist, RPGMaker, JRPG, Memes, Funny"
654,Sins of a Solar Empire: Rebellion®,Ironclad Games,Very Positive,"6,062","Strategy, Space, RTS, Sci-fi, 4X, Multiplayer, Moddable, War, Singleplayer, Aliens, Diplomacy, Exploration, Action, Real-Time, Co-op, Great Soundtrack, Simulation, Grand Strategy, Indie, Adventure", 116,"13 Jun, 2012"," Windows 10 / 8 / Windows 7 SP1, \t,  3 GHz Intel Pentium 4 Processor or Equivalent, \t,  2 GB Available System Memory, \t,  256 MB Video Card w/Pixel Shader 3.0 Support (Radeon X1650 / GeForce, 6800* or Better), \t,  9.0c, \t,  5 GB HD space, \t,  DirectX 9.0c Compatible Sound Card, \t,  Keyboard and Mouse (w/scroll wheel), Broadband Internet connection for Multiplayer,  * NVidia video chipsets must use driver version 296.10 or higher and mobile cards be set as the primary video chipset for the game.","Strategy, Space, RTS, Sci-fi, 4X, Multiplayer, Moddable, War, Singleplayer, Aliens, Diplomacy, Exploration, Action, Real-Time, Co-op, Great Soundtrack, Simulation, Grand Strategy, Indie, Adventure"
655,Leaving Lyndow,Eastshade Studios,Mostly Positive,No user reviews,"Adventure, Indie, Walking Simulator, Atmospheric, First-Person, Female Protagonist, Great Soundtrack, Singleplayer",,"8 Feb, 2017"," Windows 7 or higher,  Intel Core i3 2.00 GHz or AMD equivalent,  4 GB RAM,  NVIDIA GeForce 450 or higher with 1GB Memory,  400 MB available space","Adventure, Indie, Walking Simulator, Atmospheric, First-Person, Female Protagonist, Great Soundtrack, Singleplayer"
656,Eternal Card Game,Dire Wolf Digital,Mostly Positive,"4,444","Free to Play, Card Game, Strategy, Trading Card Game, Casual, Massively Multiplayer, Multiplayer, Early Access, Singleplayer",Free To Play,"16 Nov, 2018"," Windows Vista, Windows 7, Windows 8.1, Windows 10,  Intel Pentium D or AMD Athlon 64 X2,  2 GB RAM,  Graphics card with DX10 or OpenGL 3.x capabilities,  Broadband Internet connection,  3 GB available space","Free to Play, Card Game, Strategy, Trading Card Game, Casual, Massively Multiplayer, Multiplayer, Early Access, Singleplayer"
657,SpeedRunners,DoubleDutch Games,Very Positive,"13,348","Multiplayer, Racing, Local Multiplayer, Competitive, Platformer, Fast-Paced, Indie, 2D, Action, 4 Player Local, Funny, Parkour, Local Co-Op, Controller, Sports, Level Editor, Co-op, Arcade, Singleplayer, Superhero",SpeedRunners Party Mode,"20 Apr, 2016"," Windows XP and up,  1Ghz and up,  3 GB RAM,  Dedicated video card recommended,  Broadband Internet connection,  800 MB available space,  MAC Users: SpeedRunners runs great in Parallels Desktop","Multiplayer, Racing, Local Multiplayer, Competitive, Platformer, Fast-Paced, Indie, 2D, Action, 4 Player Local, Funny, Parkour, Local Co-Op, Controller, Sports, Level Editor, Co-op, Arcade, Singleplayer, Superhero"
658,Ultimate Fishing Simulator,Bit Golem,Very Positive,"1,158","Simulation, Fishing, Sports, Casual, Singleplayer, Realistic, Online Co-Op, Action, Open World, First-Person, Relaxing, Early Access, Exploration, Atmospheric, Massively Multiplayer, Arcade, Family Friendly, Indie, Co-op, Sandbox", 68,"30 Aug, 2018"," Windows 7/8/8.1/10 (x64 x86),  Core i5,  4 GB RAM,  NVIDIA GTX 660 2GB VRAM,  Version 11,  12 GB available space,  DirectX compatible,  System requirements may change during the development of the game","Simulation, Fishing, Sports, Casual, Singleplayer, Realistic, Online Co-Op, Action, Open World, First-Person, Relaxing, Early Access, Exploration, Atmospheric, Massively Multiplayer, Arcade, Family Friendly, Indie, Co-op, Sandbox"
659,Company of Heroes,Relic Entertainment,Very Positive,"1,509","Strategy, World War II, RTS, Action, Violent, Multiplayer, Singleplayer, War", 68,"11 Sep, 2006"," Windows® XP or Vista,  2.0 Ghz Intel Pentium IV or equivalent or AMD Athlon XP or equivalent,  512 MB RAM,  DirectX 9.0c compatible 64MB video card with Pixel Shader 1.1 support or equivalent and latest manufacturer drivers,  1 GB available space,  DirectX® 9.0c compatible 16-bit,  Supported Video Cards: NVIDIA: NVIDIA GeForce 3 series or better with latest manufacturer drivers (excluding the GeForce 4 MX series), ATI: ATI Radeon 9500 series or better with latest manufacturer drivers.","Strategy, World War II, RTS, Action, Violent, Multiplayer, Singleplayer, War"
660,ABZU,Giant Squid,Very Positive,"13,213","Relaxing, Atmospheric, Exploration, Underwater, Great Soundtrack, Adventure, Singleplayer, Casual, Indie, Colorful, Fantasy, Family Friendly, Story Rich, Open World, Short, Simulation, Third Person, Controller, Walking Simulator, Action", 68,"2 Aug, 2016"," Windows 7, 64-bit,  3.0GHz CPU Dual Core,  4 GB RAM,  Geforce GTX 750 / Radeon R7 260X,  Version 11,  6 GB available space,  DirectX compatible sound card","Relaxing, Atmospheric, Exploration, Underwater, Great Soundtrack, Adventure, Singleplayer, Casual, Indie, Colorful, Fantasy, Family Friendly, Story Rich, Open World, Short, Simulation, Third Person, Controller, Walking Simulator, Action"
661,Hakuoki: Kyoto Winds / 薄桜鬼 真改\u3000風ノ章 / 薄櫻鬼 真改\u3000風之章,Idea Factory,Very Positive,339,"Adventure, Violent, Visual Novel, Otome, Female Protagonist, Anime, Historical", 22,"24 Aug, 2017"," Windows 7,  Intel i5 1.8GHz or equivalent,  4 GB 記憶體,  DirectX 10 compatible video card,  版本：10,  27 GB 可用空間,  Windows compatible sound card","Adventure, Violent, Visual Novel, Otome, Female Protagonist, Anime, Historical"
662,ULTIMATE HARDBASS DEFENCE,Magnolia Art,Very Positive,615,"Sexual Content, Nudity, Action, Indie, Memes, Violent, Female Protagonist, Third-Person Shooter, Multiplayer, Gore, Massively Multiplayer, Zombies, Mature, Shooter, Co-op, Funny, Dark Humor, Early Access, Comedy, Great Soundtrack", 12,"13 Apr, 2019"," Windows 7 x64,  Intel Core i3-530 or Intel Xeon E5430 or AMD Phenom II X4 3.0 Ghz+,  2 GB RAM,  NVIDIA GeForce GTX 750ti or AMD Radeon HD6970,  Version 11,  1400 MB available space,  DirectX 11 support,  If the game works well on your hardware, weaker than this minimum requirements - please let us know at the community hub.","Sexual Content, Nudity, Action, Indie, Memes, Violent, Female Protagonist, Third-Person Shooter, Multiplayer, Gore, Massively Multiplayer, Zombies, Mature, Shooter, Co-op, Funny, Dark Humor, Early Access, Comedy, Great Soundtrack"
663,Catherine Classic,ATLUS,Very Positive,"1,070","Sexual Content, Nudity, Anime, Puzzle, Story Rich, Violent, Adventure, Choices Matter, Horror, Gore, Mature, Difficult, Puzzle-Platformer, Singleplayer, Multiple Endings, Psychological Horror, Great Soundtrack, Surreal, Local Multiplayer, Sokoban", 125,"10 Jan, 2019"," Microsoft Windows 7 / 8 (8.1) / 10,  Intel Core i3 (2.9 GHz) or AMD equivalent,  4 GB RAM,  DxX10 compliant video card with 1 GB VRAM (Nvidia GeForce 8 Series or higher  AMD RadeonHD 4870 or higher  Intel HD 2000 or higher,  Version 9.0c,  20 GB available space","Sexual Content, Nudity, Anime, Puzzle, Story Rich, Violent, Adventure, Choices Matter, Horror, Gore, Mature, Difficult, Puzzle-Platformer, Singleplayer, Multiple Endings, Psychological Horror, Great Soundtrack, Surreal, Local Multiplayer, Sokoban"
664,rFactor 2,Studio 397,Mostly Positive,922,"Racing, Simulation, Sports, Realistic, Multiplayer, Driving, Singleplayer", 97,"28 Mar, 2013"," Windows 7, 8, 8.1 or 10, with latest Service Packs,  2.8 GHz Intel Core 2 Duo or 3.0 GHz AMD Athlon II x2,  4 GB RAM,  nVidia GTS 450 or AMD Radeon 5750,  Version 9.0c,  Broadband Internet connection,  30 GB available space,  DirectX Compatible","Racing, Simulation, Sports, Realistic, Multiplayer, Driving, Singleplayer"
665,10-4 Indirect Contact,睦月文化,Positive,No user reviews,"Indie, Gore, Strategy", 18,"15 Apr, 2019","需要 64 位处理器和操作系统,  Windows 7,  Intel® Pentium® Processor G4400 or AMD Athlon™ 200GE,  2 GB RAM,  Intel® HD Graphics 510 or AMD Vega 3 Graphics,  需要 2 GB 可用空间","Indie, Gore, Strategy"
666,Plantera,VaragtP,Very Positive,"3,044","Casual, Clicker, Indie, Cute, Pixel Graphics, Simulation, Singleplayer, Agriculture, Family Friendly, Colorful, Building, 2D, Funny, Adventure, Great Soundtrack, RPG", 3,"29 Jan, 2016"," Windows XP or higher,  50 MB available space","Casual, Clicker, Indie, Cute, Pixel Graphics, Simulation, Singleplayer, Agriculture, Family Friendly, Colorful, Building, 2D, Funny, Adventure, Great Soundtrack, RPG"
667,Parkitect,Texel Raptor,Very Positive,"1,503","Management, Simulation, Building, Sandbox, Indie, City Builder, Early Access, Resource Management, Singleplayer, Moddable, Isometric, Funny, Strategy, Family Friendly, Economy, Colorful, Relaxing, Great Soundtrack", 90,"30 Nov, 2018"," Windows Vista, Windows 7, Windows 8, Windows 10,  2.3 GHz Intel i3 or comparable,  4 GB RAM,  Shader Model 3.0 capabilities (most cards made since ~2004 should work),  Version 10,  2 GB available space,  This will run the game, but for the best experience something closer to the Recommended Requirements is better","Management, Simulation, Building, Sandbox, Indie, City Builder, Early Access, Resource Management, Singleplayer, Moddable, Isometric, Funny, Strategy, Family Friendly, Economy, Colorful, Relaxing, Great Soundtrack"
668,Hook,Maciej Targoni,Overwhelmingly Positive,"6,073","Puzzle, Casual, Indie, Minimalist, Short, Singleplayer, Relaxing, 2D, Great Soundtrack, Difficult, Atmospheric",,"25 Jan, 2015"," Windows XP/Vista/7/8,  2 Ghz Dual Core,  2 GB RAM,  Graphics card supporting DirectX 9.0c,  Version 9.0c,  100 MB available space,  Any","Puzzle, Casual, Indie, Minimalist, Short, Singleplayer, Relaxing, 2D, Great Soundtrack, Difficult, Atmospheric"
669,,,,No user reviews,, 48,,,
670,Air Missions: HIND,3Division,Mostly Positive,No user reviews,"Simulation, Action, Flight, Casual, Indie, Military, Multiplayer, Shooter, Co-op, Realistic, Tactical, Team-Based, Singleplayer", 27,"21 Mar, 2016"," Windows 7 or higher,  DualCore - 2,5 GHz,  2048 MB RAM,  DirectX10.1 compatible with 1GB VRAM and ShaderModel 4.0 support,  Version 10,  4000 MB available space,  DirectX compatible","Simulation, Action, Flight, Casual, Indie, Military, Multiplayer, Shooter, Co-op, Realistic, Tactical, Team-Based, Singleplayer"
671,Outbreak: Lost Hope,Dead Drop Studios LLC,,No user reviews,"Action, Violent, Gore, Indie, Adventure, RPG, Horror, Survival Horror, Female Protagonist, Singleplayer, Dark, Difficult, Atmospheric", 11,"23 Apr, 2019","Requires a 64-bit processor and operating system,  Windows (7/8/10) 64-bit,  Core i3,  4 GB RAM,  Geforce GTX 750 TI / AMD Radeon R9 270X,  Version 9.0,  5 GB available space,  Integrated,  Plays best with an Xbox One gamepad","Action, Violent, Gore, Indie, Adventure, RPG, Horror, Survival Horror, Female Protagonist, Singleplayer, Dark, Difficult, Atmospheric"
672,Kingdom Rush Frontiers,Ironhide Game Studio,Overwhelmingly Positive,"2,385","Tower Defense, Strategy, Indie, Singleplayer, Fantasy, 2D", 36,"25 Jul, 2016"," Windows XP Service Pack 3,  Dual Core CPU,  OpenGL 3.0 compliant with 512MB of video RAM.,  1500 MB available space","Tower Defense, Strategy, Indie, Singleplayer, Fantasy, 2D"
673,Tactics &amp; Strategy Master 2:Princess of Holy Light（圣光战姬）,singi,Mostly Positive,30,"Nudity, Indie, RPG, Strategy, Female Protagonist, Strategy RPG, Turn-Based Tactics, Singleplayer, Early Access, Turn-Based, Fantasy, JRPG, Tactical, 2D, Pixel Graphics, Retro, Story Rich, Turn-Based Combat, RPGMaker, ""1990s""", 39,"30 Oct, 2018"," windows 7,  Intel Core2 Duo,  1 GB RAM,  600 MB available space","Nudity, Indie, RPG, Strategy, Female Protagonist, Strategy RPG, Turn-Based Tactics, Singleplayer, Early Access, Turn-Based, Fantasy, JRPG, Tactical, 2D, Pixel Graphics, Retro, Story Rich, Turn-Based Combat, RPGMaker, ""1990s"""
674,Factory Town,Erik Asmussen,Very Positive,No user reviews,"Early Access, Simulation, Strategy, City Builder, Building, Sandbox, Management, Early Access, Base Building, Resource Management, Crafting, Economy, Singleplayer, Indie, Real-Time with Pause, Survival, Colorful, Replay Value, Real-Time, Level Editor", 70,"12 Mar, 2019"," Windows 7 64-bit,  1 GB RAM,  Version 11,  250 MB available space","Early Access, Simulation, Strategy, City Builder, Building, Sandbox, Management, Early Access, Base Building, Resource Management, Crafting, Economy, Singleplayer, Indie, Real-Time with Pause, Survival, Colorful, Replay Value, Real-Time, Level Editor"
675,Sword Art Online: Lost Song,Artdink,Mostly Positive,208,"RPG, Anime, JRPG, Multiplayer, Adventure, Fantasy, MMORPG, Nudity, Action, Character Customization", 88,"13 Nov, 2018","Requires a 64-bit processor and operating system,  Windows 7, 8.1, 10 (64-bit),  Intel Core i3-2100 / AMD A8-5600K,  4 GB RAM,  GeForce GTX 650 / Radeon HD 7770,  Version 11,  7 GB available space,  DirectX compatible soundcard or onboard chipset","RPG, Anime, JRPG, Multiplayer, Adventure, Fantasy, MMORPG, Nudity, Action, Character Customization"
676,White Day: A Labyrinth Named School,SONNORI Corp,,No user reviews,"Horror, Adventure, Action, Survival Horror, First-Person, Indie, Puzzle, Psychological Horror, Anime, Singleplayer, Atmospheric, Dating Sim", 88,"23 Aug, 2017","Vyžaduje 64bitový procesor a operační systém,  Windows 7, Windows 8, Windows 10,  Intel® Core™ E8400 or better,  4 GB RAM,  Nvidia® GeForce® GTS 250 or better,   Radeon HD 5750,  Verze 9.0c,  10 GB volného místa,  Standard audio device,  Supports Keyboard +Mouse. Genuine Xbox 360 PC compatible controller recommended.","Horror, Adventure, Action, Survival Horror, First-Person, Indie, Puzzle, Psychological Horror, Anime, Singleplayer, Atmospheric, Dating Sim"
677,"""MY HERO ONES JUSTICE""",Byking Inc.,Very Positive,638,"Action, Anime, Fighting, Multiplayer, Superhero, Character Customization, Singleplayer, Heist", 268,"26 Oct, 2018","Requires a 64-bit processor and operating system,  Windows 7, 64-bit,  Intel Core i5-750 / AMD Phenom II X4 940,  4 GB RAM,  NVIDIA GeForce GTX 460 / AMD Radeon HD 6870,  Version 11,  12 GB available space","Action, Anime, Fighting, Multiplayer, Superhero, Character Customization, Singleplayer, Heist"
678,Project Winter,Other Ocean Interactive,,221,"Early Access, Survival, Multiplayer, Co-op, Strategy, Early Access, Casual, Action, Indie, Adventure, Team-Based, Controller, Difficult, Experimental, Stylized", 70,"8 Feb, 2019"," Windows 7,  AMD FX-6300 / 3rd or 4th gen i3,  4 GB RAM,  GTX 660 Ti / HD 7870,  Széles sávú internetkapcsolat,  3 GB szabad hely","Early Access, Survival, Multiplayer, Co-op, Strategy, Early Access, Casual, Action, Indie, Adventure, Team-Based, Controller, Difficult, Experimental, Stylized"
679,Flowers -Le volume sur ete-,Innocent Grey,Very Positive,164,"Casual, Visual Novel, Female Protagonist, Anime, Romance", 70,"27 Jul, 2018"," Windows Vista/7/8/10,  1.6Ghz Single Core,  1 GB RAM,  1280 x 720 or Greater Resolution,  Version 9.0,  3 GB available space","Casual, Visual Novel, Female Protagonist, Anime, Romance"
